Anno Scolastico;IdNIL;Nil;Totale Iscritti;Iscritti Italiani;Iscritti Stranieri;N D
2007/2008;75;Stephenson;;;;
2007/2008;76;Quarto Oggiaro - Vialba - Musocco;1193;860;331;2
2007/2008;77;Bovisa;555;376;173;6
2007/2008;78;Farini;;;;
2007/2008;79;Dergano;979;686;285;8
2007/2008;80;Affori;870;632;238;
2007/2008;81;Bovisasca;199;149;50;
2007/2008;82;Comasina;502;388;113;1
2007/2008;83;Bruzzano;417;342;75;
2007/2008;84;Parco Nord;68;60;2;6
2007/2008;85;Parco delle Abbazie;;;;
2007/2008;86;Parco dei Navigli;;;;
2007/2008;87;Assiano;98;92;6;
2007/2008;88;Parco Bosco in citta';;;;
2008/2009;1;Duomo;950;836;105;9
2008/2009;2;Brera;1183;1035;141;7
2008/2009;3;Giardini P.ta Venezia;;;;
2008/2009;4;Guastalla;1323;1247;65;11
2008/2009;5;Porta Vigentina - Porta Lodovica;971;900;63;8
2008/2009;6;Porta Ticinese - Conca del Naviglio;615;494;118;3
2008/2009;7;Magenta - S.Vittore;1554;1453;100;1
2008/2009;8;Parco Sempione;;;;
2008/2009;9;Porta Garibaldi - Porta Nuova;;;;
2008/2009;10;Stazione Centrale - Ponte Seveso;778;704;73;1
2008/2009;11;Isola;648;556;88;4
2008/2009;12;Maciachini - Maggiolina;1308;1025;275;8
2008/2009;13;Greco - Segnano;506;361;137;8
2008/2009;14;Niguarda - Ca? Granda - Prato Centenaro - Q.re Fulvio Testi;1535;1348;161;26
2008/2009;15;Bicocca;;;;
2008/2009;16;Gorla - Precotto;1206;904;299;3
2008/2009;17;Adriano;406;292;112;2
2008/2009;18;Cimiano - Rottole - Q.re Feltre;1037;780;193;64
2008/2009;19;Padova - Turro - Crescenzago;1060;757;296;7
2008/2009;20;Loreto - Casoretto - NoLo;1504;904;593;7
2008/2009;21;Buenos Aires - Porta Venezia - Porta Monforte;1771;1497;262;12
2008/2009;22;Citta' studi;2245;2005;223;17
2008/2009;23;Lambrate - Ortica;928;652;209;67
2008/2009;24;Parco Forlanini - Cavriano;;;;
2008/2009;25;Corsica;569;446;102;21
2008/2009;26;XXII Marzo;998;831;163;4
2008/2009;27;Pta Romana;318;276;37;5
2008/2009;28;Umbria - Molise - Calvairate;444;374;67;3
2008/2009;29;Ortomercato;238;99;138;1
2008/2009;30;Taliedo - Morsenchio - Q.re Forlanini;726;586;136;4
2008/2009;31;Monlue' - Ponte Lambro;156;84;71;1
2008/2009;32;Triulzo Superiore;;;;
2008/2009;33;Rogoredo - Santa Giulia;295;228;62;5
2008/2009;34;Chiaravalle;;;;
2008/2009;35;Lodi - Corvetto;1751;1277;430;44
2008/2009;36;Scalo Romana;223;151;71;1
2008/2009;37;Morivione;287;255;27;5
2008/2009;38;Vigentino - Q.re Fatima;637;520;92;25
2008/2009;39;Quintosole;;;;
2008/2009;40;Ronchetto delle Rane;;;;
2008/2009;41;Gratosoglio - Q.re Missaglia - Q.re Terrazze;813;666;146;1
2008/2009;42;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata;1052;817;233;2
2008/2009;43;Tibaldi;324;321;1;2
2008/2009;44;Porta Ticinese - Conchetta;211;165;38;8
2008/2009;45;Moncucco - San Cristoforo;359;256;100;3
2008/2009;46;Barona;547;437;109;1
2008/2009;47;Cantalupa;;;;
2008/2009;48;Ronchetto sul Naviglio - Q.re Lodovico il Moro;738;620;118;
2008/2009;49;Giambellino;589;430;154;5
2008/2009;50;Porta Genova;663;587;76;
2008/2009;51;Porta Magenta;1061;980;70;11
2008/2009;52;Bande Nere;2002;1725;273;4
2008/2009;53;Lorenteggio;1103;856;230;17
2008/2009;54;Muggiano;;;;
2008/2009;55;Baggio - Q.re degli Olmi - Q.re Valsesia;1135;933;201;1
2008/2009;56;Forze Armate;1009;850;158;1
2008/2009;57;San Siro;413;202;211;
2008/2009;58;De Angeli - Monte Rosa;204;192;11;1
2008/2009;59;Tre Torri;;;;
2008/2009;60;Stadio - Ippodromi;1694;1177;507;10
2008/2009;61;Quarto Cagnino;220;189;30;1
2008/2009;62;Quinto Romano;165;136;27;2
2008/2009;63;Figino;144;126;16;2
2008/2009;64;Trenno;;;;
2008/2009;65;Q.re Gallaratese - Q.re San Leonardo - Lampugnano;1404;1265;137;2
2008/2009;66;QT 8;379;344;35;
2008/2009;67;Portello;876;767;106;3
2008/2009;68;Pagano;879;842;35;2
2008/2009;69;Sarpi;1298;1063;229;6
2008/2009;70;Ghisolfa;;;;
2008/2009;71;Villapizzone - Cagnola - Boldinasco;1868;1294;566;8
2008/2009;72;Maggiore - Musocco - Certosa;182;147;35;
2008/2009;73;Cascina Merlata;;;;
2008/2009;74;Roserio;;;;
2008/2009;75;Stephenson;;;;
2008/2009;76;Quarto Oggiaro - Vialba - Musocco;1178;850;325;3
2008/2009;77;Bovisa;578;389;179;10
2008/2009;78;Farini;;;;
2008/2009;79;Dergano;949;633;301;15
2008/2009;80;Affori;914;638;274;2
2008/2009;81;Bovisasca;206;147;58;1
2008/2009;82;Comasina;501;372;122;7
2008/2009;83;Bruzzano;438;351;85;2
2008/2009;84;Parco Nord;78;71;3;4
2008/2009;85;Parco delle Abbazie;;;;
2008/2009;86;Parco dei Navigli;;;;
2008/2009;87;Assiano;99;94;5;
2008/2009;88;Parco Bosco in citta';;;;
2009/2010;1;Duomo;975;920;54;1
2009/2010;2;Brera;1215;1088;126;1
2009/2010;3;Giardini P.ta Venezia;;;;
2009/2010;4;Guastalla;1439;1357;82;
2009/2010;5;Porta Vigentina - Porta Lodovica;1049;1005;44;
2009/2010;6;Porta Ticinese - Conca del Naviglio;641;592;49;
2009/2010;7;Magenta - S.Vittore;1615;1517;97;1
2009/2010;8;Parco Sempione;;;;
2009/2010;9;Porta Garibaldi - Porta Nuova;;;;
2009/2010;10;Stazione Centrale - Ponte Seveso;836;794;42;
2009/2010;11;Isola;661;632;29;
2009/2010;12;Maciachini - Maggiolina;1312;1203;109;
2009/2010;13;Greco - Segnano;536;475;61;
2009/2010;14;Niguarda - Ca? Granda - Prato Centenaro - Q.re Fulvio Testi;1573;1485;88;
2009/2010;15;Bicocca;;;;
2009/2010;16;Gorla - Precotto;1265;1145;119;1
2009/2010;17;Adriano;410;367;43;
2009/2010;18;Cimiano - Rottole - Q.re Feltre;1058;878;173;7
2009/2010;19;Padova - Turro - Crescenzago;1096;985;109;2
2009/2010;20;Loreto - Casoretto - NoLo;1496;1248;248;
2009/2010;21;Buenos Aires - Porta Venezia - Porta Monforte;1775;1629;146;
2009/2010;22;Citta' studi;2305;2141;163;1
2009/2010;23;Lambrate - Ortica;965;812;153;
2009/2010;24;Parco Forlanini - Cavriano;;;;
2009/2010;25;Corsica;613;565;48;
2009/2010;26;XXII Marzo;1007;940;67;
2009/2010;27;Pta Romana;329;311;18;
2009/2010;28;Umbria - Molise - Calvairate;448;422;26;
2009/2010;29;Ortomercato;255;208;47;
2009/2010;30;Taliedo - Morsenchio - Q.re Forlanini;724;674;50;
2009/2010;31;Monlue' - Ponte Lambro;161;131;30;
2009/2010;32;Triulzo Superiore;;;;
2009/2010;33;Rogoredo - Santa Giulia;352;292;58;2
