Anno Scolastico;IdNIL;Nil;Totale Iscritti;Iscritti Italiani;Iscritti Stranieri;N D
2006/2007;58;De Angeli - Monte Rosa;236;216;19;1
2006/2007;59;Tre Torri;;;;
2006/2007;60;Stadio - Ippodromi;649;446;203;
2006/2007;61;Quarto Cagnino;150;139;11;
2006/2007;62;Quinto Romano;71;61;10;
2006/2007;63;Figino;51;46;5;
2006/2007;64;Trenno;81;79;2;
2006/2007;65;Q.re Gallaratese - Q.re San Leonardo - Lampugnano;403;374;29;
2006/2007;66;QT 8;164;148;16;
2006/2007;67;Portello;226;195;31;
2006/2007;68;Pagano;326;310;16;
2006/2007;69;Sarpi;436;373;57;6
2006/2007;70;Ghisolfa;12;12;;
2006/2007;71;Villapizzone - Cagnola - Boldinasco;640;482;156;2
2006/2007;72;Maggiore - Musocco - Certosa;83;67;16;
2006/2007;73;Cascina Merlata;;;;
2006/2007;74;Roserio;;;;
2006/2007;75;Stephenson;;;;
2006/2007;76;Quarto Oggiaro - Vialba - Musocco;466;362;104;
2006/2007;77;Bovisa;276;200;71;5
2006/2007;78;Farini;;;;
2006/2007;79;Dergano;299;217;82;
2006/2007;80;Affori;294;216;76;2
2006/2007;81;Bovisasca;139;115;24;
2006/2007;82;Comasina;179;144;26;9
2006/2007;83;Bruzzano;163;134;25;4
2006/2007;84;Parco Nord;40;34;2;4
2006/2007;85;Parco delle Abbazie;;;;
2006/2007;86;Parco dei Navigli;;;;
2006/2007;87;Assiano;;;;
2006/2007;88;Parco Bosco in citta';;;;
2007/2008;1;Duomo;401;348;45;8
2007/2008;2;Brera;683;610;57;16
2007/2008;3;Giardini P.ta Venezia;155;142;12;1
2007/2008;4;Guastalla;450;402;28;20
2007/2008;5;Porta Vigentina - Porta Lodovica;597;560;37;
2007/2008;6;Porta Ticinese - Conca del Naviglio;738;614;113;11
2007/2008;7;Magenta - S.Vittore;762;702;52;8
2007/2008;8;Parco Sempione;;;;
2007/2008;9;Porta Garibaldi - Porta Nuova;74;65;9;
2007/2008;10;Stazione Centrale - Ponte Seveso;235;206;25;4
2007/2008;11;Isola;408;343;56;9
2007/2008;12;Maciachini - Maggiolina;786;642;131;13
2007/2008;13;Greco - Segnano;230;173;57;
2007/2008;14;Niguarda - Ca? Granda - Prato Centenaro - Q.re Fulvio Testi;1126;971;127;28
2007/2008;15;Bicocca;;;;
2007/2008;16;Gorla - Precotto;838;639;182;17
2007/2008;17;Adriano;301;231;70;
2007/2008;18;Cimiano - Rottole - Q.re Feltre;629;436;131;62
2007/2008;19;Padova - Turro - Crescenzago;550;383;135;32
2007/2008;20;Loreto - Casoretto - NoLo;795;507;261;27
2007/2008;21;Buenos Aires - Porta Venezia - Porta Monforte;1548;1343;180;25
2007/2008;22;Citta' studi;809;697;91;21
2007/2008;23;Lambrate - Ortica;418;321;62;35
2007/2008;24;Parco Forlanini - Cavriano;;;;
2007/2008;25;Corsica;530;415;78;37
2007/2008;26;XXII Marzo;799;698;89;12
2007/2008;27;Pta Romana;106;103;1;2
2007/2008;28;Umbria - Molise - Calvairate;336;269;65;2
2007/2008;29;Ortomercato;171;59;107;5
2007/2008;30;Taliedo - Morsenchio - Q.re Forlanini;379;316;62;1
2007/2008;31;Monlue' - Ponte Lambro;100;71;29;
2007/2008;32;Triulzo Superiore;;;;
2007/2008;33;Rogoredo - Santa Giulia;199;164;34;1
2007/2008;34;Chiaravalle;26;22;3;1
2007/2008;35;Lodi - Corvetto;1189;896;282;11
2007/2008;36;Scalo Romana;;;;
2007/2008;37;Morivione;103;74;29;
2007/2008;38;Vigentino - Q.re Fatima;438;384;42;12
2007/2008;39;Quintosole;;;;
2007/2008;40;Ronchetto delle Rane;;;;
2007/2008;41;Gratosoglio - Q.re Missaglia - Q.re Terrazze;347;274;65;8
2007/2008;42;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata;706;561;137;8
2007/2008;43;Tibaldi;199;190;1;8
2007/2008;44;Porta Ticinese - Conchetta;301;245;48;8
2007/2008;45;Moncucco - San Cristoforo;341;262;74;5
2007/2008;46;Barona;263;213;42;8
2007/2008;47;Cantalupa;;;;
2007/2008;48;Ronchetto sul Naviglio - Q.re Lodovico il Moro;340;284;55;1
2007/2008;49;Giambellino;294;228;63;3
2007/2008;50;Porta Genova;541;483;51;7
2007/2008;51;Porta Magenta;387;351;33;3
2007/2008;52;Bande Nere;1401;1183;204;14
2007/2008;53;Lorenteggio;610;482;118;10
2007/2008;54;Muggiano;26;22;3;1
2007/2008;55;Baggio - Q.re degli Olmi - Q.re Valsesia;723;620;98;5
2007/2008;56;Forze Armate;665;541;106;18
2007/2008;57;San Siro;160;86;72;2
2007/2008;58;De Angeli - Monte Rosa;356;316;22;18
2007/2008;59;Tre Torri;;;;
2007/2008;60;Stadio - Ippodromi;944;614;287;43
2007/2008;61;Quarto Cagnino;243;212;30;1
2007/2008;62;Quinto Romano;113;97;16;
2007/2008;63;Figino;64;50;6;8
2007/2008;64;Trenno;127;122;3;2
2007/2008;65;Q.re Gallaratese - Q.re San Leonardo - Lampugnano;652;601;48;3
2007/2008;66;QT 8;231;207;19;5
