id_amat;id_via;anagrafica;gerarchia;rete;tipologia;sede;marcia;norma;fine_lavor;lunghezza;LONG_X_4326_CENTROID;LAT_Y_4326_CENTROID;Location
766;"602";VIA GIOSUE' CARDUCCI;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;"2010";"38";9.17533103678165;45.4655567150004;"(45.46555671500036, 9.17533103678165)"
767;"602";VIA GIOSUE' CARDUCCI;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;"2010";"9";9.1749962737335;45.4649752213809;"(45.464975221380925, 9.174996273733498)"
768;"602";VIA GIOSUE' CARDUCCI;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;"2010";"32";9.17484563910862;45.4647010554411;"(45.46470105544111, 9.174845639108621)"
770;"602";VIA GIOSUE' CARDUCCI;;ciclabile;ciclabile segnaletica;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;"2010";"20";9.17619493943793;45.4669494482329;"(45.466949448232874, 9.17619493943793)"
771;"330";VIA FRANCESCO SFORZA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"2020";"77";9.1957129320942;45.4599231538502;"(45.45992315385025, 9.195712932094205)"
772;"7526";VIA FRANCESCO CILEA;;ciclabile;ciclabile sede propria;parco o area verde;bidirezionale;corsia ciclabile;"1986";"343";9.10663583234104;45.4955799268054;"(45.49557992680542, 9.10663583234104)"
773;"330";VIA FRANCESCO SFORZA;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"2020";"137";9.19716496357802;45.461461573081;"(45.46146157308097, 9.197164963578016)"
774;"1414";VIA TOFANE;;urbana;promiscuo veicoli;sottopasso;bidirezionale;FACILITAZIONE - divieto di transito ecc. bici;"2004";"30";9.21722419147933;45.5009238707622;"(45.50092387076221, 9.217224191479328)"
776;"6187";VIA GIORGIO PALLAVICINO;;urbana;promiscuo pedoni;carreggiata;bidirezionale;percorso promiscuo - pedonale e ciclabile;"2013";"97";9.16124248447198;45.4698295968413;"(45.46982959684131, 9.161242484471977)"
780;"361";VIA UMBERTO VISCONTI DI MODRONE;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;"2020";"17";9.20018739785633;45.4649537078517;"(45.46495370785171, 9.200187397856332)"
