id_area;municipio;area;località;obj_id;codice;descrizione_codice;data_ini;area_mq;perim_m;LONG_X_4326;LAT_Y_4326;Location
3_044;3;044;piazzale Gorini;25384;S327554;Area fruizione cani;2003/04/11;410.493850000722;84.9719108136699;9.2300992398;45.4727457015;"(45.4727457015, 9.2300992398)"
3_044;3;044;piazzale Gorini;25385;S327554;Area fruizione cani;2003/04/11;383.514449999819;81.9647522808016;9.2300861379;45.4741890435;"(45.4741890435, 9.2300861379)"
4_157;4;157;parco Alessandrini;166297;S327554;Area fruizione cani;2019/05/24;2981.54464235878;244.333272436895;9.2289224463;45.4501473903;"(45.4501473903, 9.2289224463)"
4_157;4;157;parco Alessandrini;166298;S327554;Area fruizione cani;2019/05/24;3015.46330764268;290.956701573456;9.228914405;45.4494452073;"(45.4494452073, 9.228914405)"
4_157;4;157;parco Alessandrini;25307;S327554;Area fruizione cani;2003/09/15;1290.35765000006;127.371909268986;9.2245677265;45.4500812295;"(45.4500812295, 9.2245677265)"
4_117;4;117;vie Nervesa - Gonzales;48571;S327554;Area fruizione cani;2003/09/03;792.99184826389;149.850811332251;9.2192564614;45.444835717;"(45.444835717, 9.2192564614)"
4_117;4;117;vie Nervesa - Gonzales;42142;S327554;Area fruizione cani;2008/03/05;156.037752379833;55.6066809191666;9.2185258066;45.4439912852;"(45.4439912852, 9.2185258066)"
4_117;4;117;vie Nervesa - Gonzales;25464;S327554;Area fruizione cani;2003/09/02;2767.0792549264;258.628730527175;9.2188576412;45.4444469993;"(45.4444469993, 9.2188576412)"
4_055;4;055;piazza Ovidio;169733;S327554;Area fruizione cani;2021/03/29;926.633519362509;126.105705280781;9.2410823312;45.4572954436;"(45.4572954436, 9.2410823312)"
4_041;4;041;vie Facchinetti - Bellosio;49714;S327554;Area fruizione cani;2010/06/10;552.76001830231;109.398650004741;9.241819177;45.4616156622;"(45.4616156622, 9.241819177)"
4_123;4;123;via Cassinis;113199;S327554;Area fruizione cani;2012/11/14;951.956852103143;139.366115648581;9.2335649339;45.4354922417;"(45.4354922417, 9.2335649339)"
4_045;4;045;vie Forlanini - Garavaglia;105824;S327554;Area fruizione cani;2012/02/02;626.428117426361;107.646141656369;9.2464661759;45.4614803961;"(45.4614803961, 9.2464661759)"
4_045;4;045;vie Forlanini - Garavaglia;105825;S327554;Area fruizione cani;2012/02/02;880.730950514484;126.174609537927;9.2469019231;45.4613660526;"(45.4613660526, 9.2469019231)"
4_250;4;250;piazza Bologna - via Sceiwiller - Bacchiglione;25310;S327554;Area fruizione cani;2005/10/14;597.69894815813;157.829156934507;9.2224498344;45.4460433224;"(45.4460433224, 9.2224498344)"
4_162;4;162;giardino Francesco Rucci;48014;S327554;Area fruizione cani;2009/09/05;380.313120567664;80.2860638903735;9.2199488782;45.4562017299;"(45.4562017299, 9.2199488782)"
4_162;4;162;giardino Francesco Rucci;48165;S327554;Area fruizione cani;2009/09/05;804.685804332964;110.405289064313;9.2202667898;45.4561854349;"(45.4561854349, 9.2202667898)"
4_178;4;178;viale Cirene;25341;S327554;Area fruizione cani;2003/05/29;298.429750006941;66.3035767784719;9.2141254642;45.4527939375;"(45.4527939375, 9.2141254642)"
4_178;4;178;viale Cirene;25315;S327554;Area fruizione cani;2003/05/29;892.544100000711;119.247638206299;9.2118292564;45.4537150274;"(45.4537150274, 9.2118292564)"
