Anno Scolastico;IdNIL;Nil;Totale Iscritti;Iscritti Italiani;Iscritti Stranieri;N D
2007/2008;30;Taliedo - Morsenchio - Q.re Forlanini;406;292;113;1
2007/2008;31;Monlue' - Ponte Lambro;;;;
2007/2008;32;Triulzo Superiore;;;;
2007/2008;33;Rogoredo - Santa Giulia;157;124;33;
2007/2008;34;Chiaravalle;;;;
2007/2008;35;Lodi - Corvetto;888;656;232;
2007/2008;36;Scalo Romana;;;;
2007/2008;37;Morivione;275;216;53;6
2007/2008;38;Vigentino - Q.re Fatima;206;168;29;9
2007/2008;39;Quintosole;;;;
2007/2008;40;Ronchetto delle Rane;;;;
2007/2008;41;Gratosoglio - Q.re Missaglia - Q.re Terrazze;473;376;93;4
2007/2008;42;Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata;562;446;112;4
2007/2008;43;Tibaldi;128;128;;
2007/2008;44;Porta Ticinese - Conchetta;;;;
2007/2008;45;Moncucco - San Cristoforo;121;82;37;2
2007/2008;46;Barona;285;244;41;
2007/2008;47;Cantalupa;;;;
2007/2008;48;Ronchetto sul Naviglio - Q.re Lodovico il Moro;424;349;72;3
2007/2008;49;Giambellino;477;438;39;
2007/2008;50;Porta Genova;;;;
2007/2008;51;Porta Magenta;1126;1009;114;3
2007/2008;52;Bande Nere;1744;1497;246;1
2007/2008;53;Lorenteggio;524;423;99;2
2007/2008;54;Muggiano;;;;
2007/2008;55;Baggio - Q.re degli Olmi - Q.re Valsesia;571;470;96;5
2007/2008;56;Forze Armate;389;312;76;1
2007/2008;57;San Siro;182;144;37;1
2007/2008;58;De Angeli - Monte Rosa;922;738;182;2
2007/2008;59;Tre Torri;;;;
2007/2008;60;Stadio - Ippodromi;552;356;196;
2007/2008;61;Quarto Cagnino;248;205;43;
2007/2008;62;Quinto Romano;;;;
2007/2008;63;Figino;54;51;1;2
2007/2008;64;Trenno;;;;
2007/2008;65;Q.re Gallaratese - Q.re San Leonardo - Lampugnano;816;728;85;3
2007/2008;66;QT 8;143;128;15;
2007/2008;67;Portello;56;6;46;4
2007/2008;68;Pagano;849;806;40;3
2007/2008;69;Sarpi;631;504;126;1
2007/2008;70;Ghisolfa;;;;
2007/2008;71;Villapizzone - Cagnola - Boldinasco;737;414;318;5
2007/2008;72;Maggiore - Musocco - Certosa;194;142;52;
2007/2008;73;Cascina Merlata;;;;
2007/2008;74;Roserio;;;;
2007/2008;75;Stephenson;;;;
2007/2008;76;Quarto Oggiaro - Vialba - Musocco;672;515;155;2
2007/2008;77;Bovisa;115;113;2;
2007/2008;78;Farini;;;;
2007/2008;79;Dergano;844;592;252;
2007/2008;80;Affori;539;396;143;
2007/2008;81;Bovisasca;108;91;17;
2007/2008;82;Comasina;292;220;72;
2007/2008;83;Bruzzano;240;182;58;
2007/2008;84;Parco Nord;;;;
2007/2008;85;Parco delle Abbazie;;;;
2007/2008;86;Parco dei Navigli;;;;
2007/2008;87;Assiano;;;;
2007/2008;88;Parco Bosco in citta';;;;
2008/2009;1;Duomo;533;437;87;9
2008/2009;2;Brera;790;656;89;45
2008/2009;3;Giardini P.ta Venezia;;;;
2008/2009;4;Guastalla;1828;1695;127;6
2008/2009;5;Porta Vigentina - Porta Lodovica;523;467;56;
2008/2009;6;Porta Ticinese - Conca del Naviglio;448;336;98;14
2008/2009;7;Magenta - S.Vittore;852;783;66;3
2008/2009;8;Parco Sempione;;;;
2008/2009;9;Porta Garibaldi - Porta Nuova;;;;
2008/2009;10;Stazione Centrale - Ponte Seveso;713;653;59;1
2008/2009;11;Isola;308;262;46;
2008/2009;12;Maciachini - Maggiolina;616;480;132;4
2008/2009;13;Greco - Segnano;527;396;128;3
2008/2009;14;Niguarda - Ca? Granda - Prato Centenaro - Q.re Fulvio Testi;659;570;87;2
2008/2009;15;Bicocca;;;;
2008/2009;16;Gorla - Precotto;553;410;142;1
2008/2009;17;Adriano;;;;
2008/2009;18;Cimiano - Rottole - Q.re Feltre;793;576;194;23
2008/2009;19;Padova - Turro - Crescenzago;432;323;103;6
2008/2009;20;Loreto - Casoretto - NoLo;1378;954;420;4
2008/2009;21;Buenos Aires - Porta Venezia - Porta Monforte;1447;1224;221;2
2008/2009;22;Citta' studi;653;588;64;1
2008/2009;23;Lambrate - Ortica;393;311;49;33
2008/2009;24;Parco Forlanini - Cavriano;;;;
2008/2009;25;Corsica;370;260;110;
2008/2009;26;XXII Marzo;507;406;100;1
2008/2009;27;Pta Romana;47;45;2;
2008/2009;28;Umbria - Molise - Calvairate;;;;
2008/2009;29;Ortomercato;166;86;80;
2008/2009;30;Taliedo - Morsenchio - Q.re Forlanini;452;337;115;
2008/2009;31;Monlue' - Ponte Lambro;;;;
2008/2009;32;Triulzo Superiore;;;;
2008/2009;33;Rogoredo - Santa Giulia;144;118;26;
2008/2009;34;Chiaravalle;;;;
2008/2009;35;Lodi - Corvetto;987;704;273;10
2008/2009;36;Scalo Romana;;;;
2008/2009;37;Morivione;275;211;60;4
2008/2009;38;Vigentino - Q.re Fatima;205;167;26;12
2008/2009;39;Quintosole;;;;
2008/2009;40;Ronchetto delle Rane;;;;
