Quotazioni Immobiliari : Valori di Mercato - Semestre 2024/2 - elaborazione del 21-AGO-25
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
NORD-OVEST;LOMBARDIA;LC;3097034;C2FE; ;D428;ERVE;B;B2;LC00002565;21;Abitazioni di tipo economico;NORMALE;P;750;960;L;3;3,9;L;
NORD-OVEST;LOMBARDIA;LC;3097034;C2FE; ;D428;ERVE;B;B2;LC00002565;13;Box;NORMALE;P;730;950;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097034;C2FE; ;D428;ERVE;B;B2;LC00002565;1;Ville e Villini;NORMALE;P;1050;1300;L;4,2;5,8;L;
NORD-OVEST;LOMBARDIA;LC;3097034;C2FE; ;D428;ERVE;B;B2;LC00002565;9;Magazzini;NORMALE;P;400;500;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097034;C2FE; ;D428;ERVE;B;B2;LC00002565;5;Negozi;NORMALE;P;900;1200;L;3,7;5,3;L;
NORD-OVEST;LOMBARDIA;LC;3097034;C2FE; ;D428;ERVE;B;B2;LC00002565;6;Uffici;NORMALE;P;1000;1250;L;3,9;5,2;L;
NORD-OVEST;LOMBARDIA;LC;3097034;C2FE; ;D428;ERVE;B;B2;LC00002565;8;Capannoni industriali;NORMALE;P;480;600;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097034;C2FE; ;D428;ERVE;B;B2;LC00002565;10;Laboratori;NORMALE;P;480;600;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097052;C2HP; ;F561;MONTE MARENZO;B;B2;LC00002567;20;Abitazioni civili;NORMALE;P;1050;1300;L;4;5;L;
NORD-OVEST;LOMBARDIA;LC;3097052;C2HP; ;F561;MONTE MARENZO;B;B2;LC00002567;21;Abitazioni di tipo economico;NORMALE;P;800;1000;L;3;3,8;L;
NORD-OVEST;LOMBARDIA;LC;3097052;C2HP; ;F561;MONTE MARENZO;B;B2;LC00002567;13;Box;NORMALE;P;830;1000;L;3,2;4,1;L;
NORD-OVEST;LOMBARDIA;LC;3097052;C2HP; ;F561;MONTE MARENZO;B;B2;LC00002567;1;Ville e Villini;NORMALE;P;1150;1400;L;4;5,5;L;
NORD-OVEST;LOMBARDIA;LC;3097052;C2HP; ;F561;MONTE MARENZO;B;B2;LC00002567;9;Magazzini;NORMALE;P;400;500;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097052;C2HP; ;F561;MONTE MARENZO;B;B2;LC00002567;5;Negozi;NORMALE;P;1100;1400;L;4,1;5,8;L;
NORD-OVEST;LOMBARDIA;LC;3097052;C2HP; ;F561;MONTE MARENZO;B;B2;LC00002567;6;Uffici;NORMALE;P;1050;1300;L;3,9;5,6;L;
NORD-OVEST;LOMBARDIA;LC;3097052;C2HP; ;F561;MONTE MARENZO;B;B2;LC00002567;8;Capannoni industriali;NORMALE;P;450;630;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097052;C2HP; ;F561;MONTE MARENZO;B;B2;LC00002567;10;Laboratori;NORMALE;P;450;630;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097052;C2HP; ;F561;MONTE MARENZO;E;E1;LC00003095;20;Abitazioni civili;NORMALE;P;1000;1300;L;3,9;5;L;
NORD-OVEST;LOMBARDIA;LC;3097052;C2HP; ;F561;MONTE MARENZO;E;E1;LC00003095;21;Abitazioni di tipo economico;NORMALE;P;800;960;L;3,2;3,7;L;
NORD-OVEST;LOMBARDIA;LC;3097052;C2HP; ;F561;MONTE MARENZO;E;E1;LC00003095;13;Box;NORMALE;P;850;1000;L;3,4;4,1;L;
NORD-OVEST;LOMBARDIA;LC;3097052;C2HP; ;F561;MONTE MARENZO;E;E1;LC00003095;8;Capannoni industriali;NORMALE;P;500;750;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097052;C2HP; ;F561;MONTE MARENZO;E;E1;LC00003095;10;Laboratori;NORMALE;P;500;750;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097052;C2HP; ;F561;MONTE MARENZO;R;R1;LC00003057;20;Abitazioni civili;NORMALE;P;950;1150;L;3,8;4,5;L;
NORD-OVEST;LOMBARDIA;LC;3097052;C2HP; ;F561;MONTE MARENZO;R;R1;LC00003057;21;Abitazioni di tipo economico;NORMALE;P;750;900;L;3;3,6;L;
NORD-OVEST;LOMBARDIA;LC;3097052;C2HP; ;F561;MONTE MARENZO;R;R1;LC00003057;13;Box;NORMALE;P;830;950;L;3,2;3,9;L;
NORD-OVEST;LOMBARDIA;LC;3097052;C2HP; ;F561;MONTE MARENZO;R;R1;LC00003057;1;Ville e Villini;NORMALE;P;1000;1200;L;4,1;4,6;L;
NORD-OVEST;LOMBARDIA;LC;3097086;C2MU; ;L751;VERCURAGO;B;B2;LC00002569;20;Abitazioni civili;NORMALE;P;1100;1400;L;4,2;5,5;L;
NORD-OVEST;LOMBARDIA;LC;3097086;C2MU; ;L751;VERCURAGO;B;B2;LC00002569;21;Abitazioni di tipo economico;NORMALE;P;950;1050;L;3,7;4,2;L;
NORD-OVEST;LOMBARDIA;LC;3097086;C2MU; ;L751;VERCURAGO;B;B2;LC00002569;13;Box;NORMALE;P;930;1100;L;3,6;4,5;L;
NORD-OVEST;LOMBARDIA;LC;3097086;C2MU; ;L751;VERCURAGO;B;B2;LC00002569;1;Ville e Villini;NORMALE;P;1200;1500;L;4,6;5,9;L;
NORD-OVEST;LOMBARDIA;LC;3097086;C2MU; ;L751;VERCURAGO;B;B2;LC00002569;9;Magazzini;NORMALE;P;480;620;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097086;C2MU; ;L751;VERCURAGO;B;B2;LC00002569;5;Negozi;NORMALE;P;1150;1500;L;5,4;7,5;L;
NORD-OVEST;LOMBARDIA;LC;3097086;C2MU; ;L751;VERCURAGO;B;B2;LC00002569;6;Uffici;NORMALE;P;1100;1500;L;4;5,9;L;
NORD-OVEST;LOMBARDIA;LC;3097086;C2MU; ;L751;VERCURAGO;B;B2;LC00002569;8;Capannoni industriali;NORMALE;P;500;650;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097086;C2MU; ;L751;VERCURAGO;B;B2;LC00002569;10;Laboratori;NORMALE;P;500;650;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097086;C2MU; ;L751;VERCURAGO;R;R2;LC00002981;20;Abitazioni civili;NORMALE;P;1000;1300;L;4,1;5;L;
NORD-OVEST;LOMBARDIA;LC;3097086;C2MU; ;L751;VERCURAGO;R;R2;LC00002981;21;Abitazioni di tipo economico;NORMALE;P;850;980;L;3,4;4;L;
NORD-OVEST;LOMBARDIA;LC;3097086;C2MU; ;L751;VERCURAGO;R;R2;LC00002981;13;Box;NORMALE;P;900;1050;L;3,4;4,1;L;
NORD-OVEST;LOMBARDIA;LC;3097086;C2MU; ;L751;VERCURAGO;R;R2;LC00002981;1;Ville e Villini;NORMALE;P;1100;1400;L;4,2;5,7;L;
NORD-OVEST;LOMBARDIA;LC;3097001;C4AC; ;A005;ABBADIA LARIANA;B;B2;LC00002532;20;Abitazioni civili;NORMALE;P;1250;1700;L;4,6;6,6;L;
NORD-OVEST;LOMBARDIA;LC;3097001;C4AC; ;A005;ABBADIA LARIANA;B;B2;LC00002532;21;Abitazioni di tipo economico;NORMALE;P;900;1200;L;3,5;4,4;L;
NORD-OVEST;LOMBARDIA;LC;3097001;C4AC; ;A005;ABBADIA LARIANA;B;B2;LC00002532;13;Box;NORMALE;P;1250;1550;L;5,4;6,9;L;
NORD-OVEST;LOMBARDIA;LC;3097001;C4AC; ;A005;ABBADIA LARIANA;B;B2;LC00002532;1;Ville e Villini;NORMALE;P;1350;1850;L;5,4;7,4;L;
NORD-OVEST;LOMBARDIA;LC;3097001;C4AC; ;A005;ABBADIA LARIANA;B;B2;LC00002532;9;Magazzini;NORMALE;P;500;660;L;;;;
NORD-OVEST;LOMBARDIA;LC;3097001;C4AC; ;A005;ABBADIA LARIANA;B;B2;LC00002532;5;Negozi;NORMALE;P;1200;1400;L;5,4;6,9;L;
